timestamp,total_damage_window,total_kills_window,total_healed_window,total_deaths_window,is_fight
2024-11-28 19:16:15.236000+00:00,1677.524,5.0,644.3142,2.0,True
2024-11-28 19:16:15.251000+00:00,1677.524,5.0,644.3142,2.0,True
2024-11-28 19:16:15.291000+00:00,1677.524,5.0,644.3142,2.0,True
2024-11-28 19:16:15.307000+00:00,1677.524,5.0,644.3142,2.0,True
2024-11-28 19:16:15.365000+00:00,1677.524,5.0,644.3142,2.0,True
2024-11-28 19:16:15.711000+00:00,1760.364,5.0,608.5909999999999,2.0,True
2024-11-28 19:16:15.719000+00:00,1760.364,5.0,608.5909999999999,2.0,True
2024-11-28 19:16:15.768000+00:00,1760.364,5.0,608.5909999999999,2.0,True
2024-11-28 19:16:15.831000+00:00,1760.364,5.0,608.5909999999999,2.0,True
2024-11-28 19:16:16.182000+00:00,1734.2939999999999,5.0,598.1782000000001,3.0,True
2024-11-28 19:16:16.237000+00:00,1734.2939999999999,5.0,598.1782000000001,3.0,True
2024-11-28 19:16:16.251000+00:00,1734.2939999999999,5.0,598.1782000000001,3.0,True
2024-11-28 19:16:16.313000+00:00,1734.2939999999999,5.0,598.1782000000001,3.0,True
2024-11-28 19:16:16.673000+00:00,1632.944,7.0,550.063,3.0,True
2024-11-28 19:16:16.716000+00:00,1632.944,7.0,550.063,3.0,True
2024-11-28 19:16:16.783000+00:00,1632.944,7.0,546.735,2.0,True
2024-11-28 19:16:17.102000+00:00,1576.79,5.0,538.6454,2.0,True
2024-11-28 19:16:17.130000+00:00,1576.79,5.0,538.6454,2.0,True
2024-11-28 19:16:17.192000+00:00,1576.79,5.0,538.6454,2.0,True
2024-11-28 19:16:17.249000+00:00,1576.79,5.0,538.6454,2.0,True
2024-11-28 19:16:17.626000+00:00,1276.09,5.0,508.1174,2.0,True
2024-11-28 19:16:17.650000+00:00,1276.09,5.0,508.1174,2.0,True
2024-11-28 19:16:17.656000+00:00,1276.09,5.0,508.1174,2.0,True
2024-11-28 19:16:17.684000+00:00,1276.09,5.0,508.1174,2.0,True
2024-11-28 19:16:17.719000+00:00,1276.09,5.0,508.1174,2.0,True
2024-11-28 19:16:18.037000+00:00,1372.83,5.0,560.3574,2.0,True
2024-11-28 19:16:18.059000+00:00,1372.83,5.0,560.3574,2.0,True
2024-11-28 19:16:18.069000+00:00,1372.83,5.0,560.3574,2.0,True
2024-11-28 19:16:18.089000+00:00,1372.83,5.0,560.3574,2.0,True
2024-11-28 19:16:18.101000+00:00,1372.83,5.0,560.3574,2.0,True
2024-11-28 19:16:18.116000+00:00,1372.83,5.0,560.3574,2.0,True
2024-11-28 19:16:18.165000+00:00,1372.83,5.0,560.3574,2.0,True
2024-11-28 19:16:18.528000+00:00,1287.83,5.0,499.9574,2.0,True
2024-11-28 19:16:18.541000+00:00,1287.83,5.0,499.9574,2.0,True
2024-11-28 19:16:18.578000+00:00,1287.83,5.0,499.9574,2.0,True
2024-11-28 19:16:18.617000+00:00,1287.83,5.0,499.9574,2.0,True
2024-11-28 19:16:18.666000+00:00,1287.83,5.0,499.9574,2.0,True
2024-11-28 19:16:18.982000+00:00,1391.58,5.0,499.95739999999995,2.0,True
2024-11-28 19:16:18.994000+00:00,1391.58,5.0,499.95739999999995,2.0,True
2024-11-28 19:16:19.008000+00:00,1391.58,5.0,499.95739999999995,2.0,True
2024-11-28 19:16:19.030000+00:00,1391.58,5.0,499.95739999999995,2.0,True
2024-11-28 19:16:19.048000+00:00,1391.58,5.0,499.95739999999995,2.0,True
2024-11-28 19:16:19.083000+00:00,1391.58,5.0,499.95739999999995,2.0,True
2024-11-28 19:16:19.519000+00:00,1391.58,5.0,511.7974,2.0,True
2024-11-28 19:16:19.560000+00:00,1391.58,5.0,511.7974,2.0,True
2024-11-28 19:16:19.962000+00:00,1161.58,5.0,514.0054,2.0,True
2024-11-28 19:16:19.976000+00:00,1161.58,5.0,514.0054,2.0,True
2024-11-28 19:16:19.996000+00:00,1161.58,5.0,514.0054,2.0,True
2024-11-28 19:16:20.029000+00:00,1161.58,5.0,514.0054,2.0,True
2024-11-28 19:16:20.432000+00:00,1066.58,5.0,522.037,2.0,True
2024-11-28 19:16:20.467000+00:00,1066.58,5.0,522.037,2.0,True
2024-11-28 19:16:20.482000+00:00,1066.58,5.0,522.037,2.0,True
2024-11-28 19:16:20.905000+00:00,976.5799999999999,5.0,516.277,2.0,True
2024-11-28 19:16:20.935000+00:00,976.5799999999999,5.0,516.277,2.0,True
2024-11-28 19:16:21.148000+00:00,976.5799999999999,5.0,516.277,2.0,True
2024-11-28 19:16:21.383000+00:00,946.5799999999999,5.0,474.197,2.0,True
2024-11-28 19:16:21.400000+00:00,946.5799999999999,5.0,474.197,2.0,True
2024-11-28 19:16:21.440000+00:00,946.5799999999999,5.0,474.197,2.0,True
2024-11-28 19:16:21.899000+00:00,936.5799999999999,5.0,470.35699999999997,2.0,True
2024-11-28 19:16:22.385000+00:00,761.5799999999999,5.0,461.52500000000003,2.0,True
2024-11-28 19:16:22.753000+00:00,756.5799999999999,5.0,442.45136,2.0,True
2024-11-28 19:16:22.815000+00:00,756.5799999999999,5.0,442.45136,2.0,True
2024-11-28 19:16:22.851000+00:00,756.5799999999999,5.0,442.45136,2.0,True
2024-11-28 19:16:23.333000+00:00,668.53,5.0,396.42470000000003,2.0,True
2024-11-28 19:16:23.734000+00:00,581.03,5.0,345.08930000000004,1.0,True
2024-11-28 19:16:23.796000+00:00,581.03,5.0,345.08930000000004,1.0,True
2024-11-28 19:16:24.289000+00:00,482.03000000000003,2.0,296.6462,1.0,True
2024-11-28 19:16:24.741000+00:00,482.03000000000003,2.0,258.111,1.0,True
2024-11-28 19:16:25.186000+00:00,409.53,2.0,227.98400000000004,1.0,True
2024-11-28 19:16:25.235000+00:00,409.53,2.0,227.98400000000004,1.0,False
2024-11-28 19:16:26.104000+00:00,243.27999999999997,2.0,182.96000000000004,1.0,False
2024-11-28 19:16:27.048000+00:00,380.2488,0.0,153.68,0.0,False
2024-11-28 19:16:27.527000+00:00,560.2488000000001,0.0,136.40000000000003,1.0,True
2024-11-28 19:16:27.980000+00:00,674.9190000000001,2.0,74.88,1.0,True
2024-11-28 19:16:27.993000+00:00,674.9190000000001,2.0,74.88,1.0,True
2024-11-28 19:16:28.443000+00:00,809.9190000000001,2.0,57.599999999999994,1.0,True
2024-11-28 19:16:28.460000+00:00,809.9190000000001,2.0,57.599999999999994,1.0,True
2024-11-28 19:16:28.918000+00:00,823.6690000000001,2.0,159.08,1.0,True
2024-11-28 19:16:29.347000+00:00,993.1690000000001,2.0,143.336,1.0,True
2024-11-28 19:16:29.410000+00:00,993.1690000000001,2.0,143.336,1.0,True
2024-11-28 19:16:29.889000+00:00,1033.814,2.0,236.51200000000006,1.0,True
2024-11-28 19:16:30.279000+00:00,1054.814,2.0,220.80000000000007,1.0,True
2024-11-28 19:16:30.355000+00:00,1054.814,2.0,220.80000000000007,1.0,True
2024-11-28 19:16:30.760000+00:00,1139.8139999999999,2.0,304.80000000000007,1.0,True
2024-11-28 19:16:30.828000+00:00,1139.8139999999999,2.0,304.80000000000007,1.0,True
2024-11-28 19:16:31.211000+00:00,1139.8139999999999,2.0,304.80000000000007,1.0,True
2024-11-28 19:16:31.288000+00:00,1139.8139999999999,2.0,304.80000000000007,1.0,True
2024-11-28 19:16:31.323000+00:00,1139.8139999999999,2.0,304.80000000000007,1.0,True
2024-11-28 19:16:31.686000+00:00,1139.8139999999999,2.0,367.80000000000007,1.0,True
2024-11-28 19:16:31.748000+00:00,1139.8139999999999,2.0,367.80000000000007,1.0,True
2024-11-28 19:16:31.790000+00:00,1139.8139999999999,2.0,367.80000000000007,1.0,True
2024-11-28 19:16:32.139000+00:00,1139.8139999999999,2.0,377.88000000000005,1.0,True
2024-11-28 19:16:32.153000+00:00,1139.8139999999999,2.0,377.88000000000005,1.0,True
2024-11-28 19:16:32.267000+00:00,1139.8139999999999,2.0,377.88000000000005,1.0,True
2024-11-28 19:16:32.345000+00:00,1139.8139999999999,2.0,377.88000000000005,1.0,True
2024-11-28 19:16:32.617000+00:00,1139.8139999999999,2.0,459.4000000000001,1.0,True
2024-11-28 19:16:32.632000+00:00,1139.8139999999999,2.0,459.4000000000001,1.0,True
2024-11-28 19:16:32.694000+00:00,1139.8139999999999,2.0,459.4000000000001,1.0,True
2024-11-28 19:16:32.731000+00:00,1139.8139999999999,2.0,459.4000000000001,1.0,True
2024-11-28 19:16:33.138000+00:00,1139.8139999999999,2.0,476.68000000000006,1.0,True
2024-11-28 19:16:33.191000+00:00,1139.8139999999999,2.0,476.68000000000006,1.0,True
2024-11-28 19:16:33.557000+00:00,1139.8139999999999,2.0,558.2,1.0,True
2024-11-28 19:16:33.607000+00:00,1139.8139999999999,2.0,558.2,1.0,True
2024-11-28 19:16:33.668000+00:00,1139.8139999999999,2.0,558.2,1.0,True
2024-11-28 19:16:34.102000+00:00,1139.8139999999999,2.0,575.0,1.0,True
2024-11-28 19:16:34.139000+00:00,1139.8139999999999,2.0,575.0,1.0,True
2024-11-28 19:16:34.155000+00:00,1139.8139999999999,2.0,575.0,1.0,True
2024-11-28 19:16:34.552000+00:00,1139.8139999999999,2.0,587.0,1.0,True
2024-11-28 19:16:34.580000+00:00,1139.8139999999999,2.0,587.0,1.0,True
2024-11-28 19:16:34.617000+00:00,1139.8139999999999,2.0,587.0,1.0,True
2024-11-28 19:16:35.057000+00:00,1139.8139999999999,2.0,604.2800000000001,1.0,True
2024-11-28 19:16:35.086000+00:00,1139.8139999999999,2.0,604.2800000000001,1.0,True
2024-11-28 19:16:35.491000+00:00,1139.8139999999999,2.0,615.32,1.0,True
2024-11-28 19:16:35.560000+00:00,1139.8139999999999,2.0,615.32,1.0,True
2024-11-28 19:16:36.445000+00:00,1118.8139999999999,2.0,627.32,1.0,True
2024-11-28 19:16:36.982000+00:00,983.3151999999999,2.0,627.32,1.0,True
2024-11-28 19:16:37.378000+00:00,803.3151999999998,2.0,627.32,0.0,True
